timestamp,symbol,expiry,atm,type,strike,oi,delta_oi,score
2025-11-12 09:20:04,NIFTY,18-Nov-2025,25800,Resistance,25700,45525,0,45525
2025-11-12 09:21:03,NIFTY,18-Nov-2025,25800,Support,25600,57645,0,57645
2025-11-12 09:21:03,NIFTY,18-Nov-2025,25800,Support,25700,49132,0,49132
2025-11-12 09:21:03,NIFTY,18-Nov-2025,25800,Support,25800,44125,0,44125
2025-11-12 09:21:03,NIFTY,18-Nov-2025,25800,Resistance,26000,74067,0,74067
2025-11-12 09:21:03,NIFTY,18-Nov-2025,25800,Resistance,25800,50548,0,50548
2025-11-12 09:21:03,NIFTY,18-Nov-2025,25800,Resistance,25700,45525,0,45525
2025-11-12 09:22:03,NIFTY,18-Nov-2025,25800,Support,25600,57645,0,57645
2025-11-12 09:22:03,NIFTY,18-Nov-2025,25800,Support,25700,49132,0,49132
2025-11-12 09:22:03,NIFTY,18-Nov-2025,25800,Support,25800,44125,0,44125
2025-11-12 09:22:03,NIFTY,18-Nov-2025,25800,Resistance,26000,74067,0,74067
2025-11-12 09:22:03,NIFTY,18-Nov-2025,25800,Resistance,25800,50548,0,50548
2025-11-12 09:22:03,NIFTY,18-Nov-2025,25800,Resistance,25700,45525,0,45525
2025-11-12 09:23:03,NIFTY,18-Nov-2025,25800,Support,25600,57645,0,57645
2025-11-12 09:23:03,NIFTY,18-Nov-2025,25800,Support,25700,49132,0,49132
2025-11-12 09:23:03,NIFTY,18-Nov-2025,25800,Support,25800,44125,0,44125
2025-11-12 09:23:03,NIFTY,18-Nov-2025,25800,Resistance,26000,74067,0,74067
2025-11-12 09:23:03,NIFTY,18-Nov-2025,25800,Resistance,25800,50548,0,50548
2025-11-12 09:23:03,NIFTY,18-Nov-2025,25800,Resistance,25700,45525,0,45525
2025-11-12 09:24:04,NIFTY,18-Nov-2025,25800,Support,25800,77611,33486,127840
2025-11-12 09:24:04,NIFTY,18-Nov-2025,25800,Support,25700,57386,8254,69767
2025-11-12 09:24:04,NIFTY,18-Nov-2025,25800,Support,25600,62264,4619,69192
2025-11-12 09:24:04,NIFTY,18-Nov-2025,25800,Resistance,26000,88644,14577,110509
2025-11-12 09:24:04,NIFTY,18-Nov-2025,25800,Resistance,25800,64559,14011,85575
2025-11-12 09:24:04,NIFTY,18-Nov-2025,25800,Resistance,25900,51807,15406,74916
2025-11-12 09:25:03,NIFTY,18-Nov-2025,25800,Support,25800,77611,0,77611
2025-11-12 09:25:03,NIFTY,18-Nov-2025,25800,Support,25600,62264,0,62264
2025-11-12 09:25:03,NIFTY,18-Nov-2025,25800,Support,25700,57386,0,57386
2025-11-12 09:25:03,NIFTY,18-Nov-2025,25800,Resistance,26000,88644,0,88644
2025-11-12 09:25:03,NIFTY,18-Nov-2025,25800,Resistance,25800,64559,0,64559
2025-11-12 09:25:03,NIFTY,18-Nov-2025,25800,Resistance,25900,51807,0,51807
2025-11-12 09:26:03,NIFTY,18-Nov-2025,25850,Support,25800,90670,13059,110258
2025-11-12 09:26:03,NIFTY,18-Nov-2025,25850,Support,25700,62365,4979,69833
2025-11-12 09:26:03,NIFTY,18-Nov-2025,25850,Support,25600,63065,801,64266
